IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.66.72.229,443,443,TRUE,ORD,North America,Chicago,206,8.96
34.118.17.210,443,443,TRUE,FRA,Europe,Frankfurt,228,8.95
34.118.75.59,443,443,TRUE,FRA,Europe,Frankfurt,187,8.92
34.70.91.86,443,443,TRUE,ORD,North America,Chicago,207,8.9
34.116.208.135,443,443,TRUE,FRA,Europe,Frankfurt,183,8.89
34.116.244.137,443,443,TRUE,FRA,Europe,Frankfurt,184,8.89
34.70.91.86,443,443,TRUE,ORD,North America,Chicago,208,8.89
34.69.150.180,443,443,TRUE,ORD,North America,Chicago,212,8.86
34.69.150.180,443,443,TRUE,ORD,North America,Chicago,222,8.86
34.67.45.105,443,443,TRUE,ORD,North America,Chicago,209,8.81
34.67.45.105,443,443,TRUE,ORD,North America,Chicago,210,8.79
34.159.182.114,443,443,TRUE,FRA,Europe,Frankfurt,238,8.77
34.69.150.180,443,443,TRUE,ORD,North America,Chicago,211,8.74
35.202.158.120,443,443,TRUE,ORD,North America,Chicago,207,8.69
34.118.29.1,443,443,TRUE,FRA,Europe,Frankfurt,220,8.69
34.69.150.180,443,443,TRUE,ORD,North America,Chicago,209,8.68
34.116.153.159,443,443,TRUE,FRA,Europe,Frankfurt,262,8.67
34.70.91.86,443,443,TRUE,ORD,North America,Chicago,213,8.65
34.116.212.164,443,443,TRUE,FRA,Europe,Frankfurt,177,8.62
34.141.55.209,443,443,TRUE,FRA,Europe,Frankfurt,170,8.61
34.116.209.116,443,443,TRUE,FRA,Europe,Frankfurt,185,8.58
34.65.235.73,443,443,TRUE,FRA,Europe,Frankfurt,178,8.58
34.91.248.236,443,443,TRUE,FRA,Europe,Frankfurt,183,8.55
34.67.45.105,443,443,TRUE,ORD,North America,Chicago,206,8.54
34.116.199.155,443,443,TRUE,FRA,Europe,Frankfurt,250,8.53
34.118.77.223,443,443,TRUE,FRA,Europe,Frankfurt,204,8.52
34.67.45.105,443,443,TRUE,ORD,North America,Chicago,210,8.51
34.116.129.228,443,443,TRUE,FRA,Europe,Frankfurt,203,8.47
34.118.44.17,443,443,TRUE,FRA,Europe,Frankfurt,192,8.45
34.116.212.33,443,443,TRUE,FRA,Europe,Frankfurt,281,8.45
35.198.132.6,443,443,TRUE,FRA,Europe,Frankfurt,162,8.42
34.29.228.169,443,443,TRUE,ORD,North America,Chicago,206,8.4
34.118.48.125,443,443,TRUE,FRA,Europe,Frankfurt,191,8.4
34.118.123.164,443,443,TRUE,FRA,Europe,Frankfurt,222,8.38
34.116.176.20,443,443,TRUE,FRA,Europe,Frankfurt,192,8.37
34.118.63.214,443,443,TRUE,FRA,Europe,Frankfurt,185,8.29
34.118.0.26,443,443,TRUE,FRA,Europe,Frankfurt,194,8.25
34.118.55.210,443,443,TRUE,FRA,Europe,Frankfurt,213,8.24
34.118.113.182,443,443,TRUE,FRA,Europe,Frankfurt,194,8.23
34.105.233.161,443,443,TRUE,LHR,Europe,London,168,8.21
34.118.45.36,443,443,TRUE,FRA,Europe,Frankfurt,241,8.2
34.89.180.220,443,443,TRUE,FRA,Europe,Frankfurt,162,8.2
34.148.187.247,443,443,TRUE,ATL,North America,Atlanta,297,8.16
34.118.89.135,443,443,TRUE,FRA,Europe,Frankfurt,187,8.14
34.65.79.218,443,443,TRUE,FRA,Europe,Frankfurt,176,8.12
34.116.251.131,443,443,TRUE,FRA,Europe,Frankfurt,209,8.07
34.118.7.29,443,443,TRUE,FRA,Europe,Frankfurt,194,8.03
34.65.11.58,443,443,TRUE,FRA,Europe,Frankfurt,175,8.02
34.118.44.165,443,443,TRUE,FRA,Europe,Frankfurt,225,8.01
35.190.152.145,443,443,TRUE,ATL,North America,Atlanta,219,8
34.118.28.157,443,443,TRUE,AMS,Europe,Amsterdam,208,8
34.118.68.179,443,443,TRUE,FRA,Europe,Frankfurt,182,7.96
34.159.86.161,443,443,TRUE,FRA,Europe,Frankfurt,171,7.96
34.148.187.247,443,443,TRUE,ATL,North America,Atlanta,221,7.96
34.118.23.155,443,443,TRUE,FRA,Europe,Frankfurt,213,7.94
34.116.129.228,443,443,TRUE,FRA,Europe,Frankfurt,242,7.93
34.116.216.165,443,443,TRUE,FRA,Europe,Frankfurt,188,7.89
34.65.73.117,443,443,TRUE,FRA,Europe,Frankfurt,202,7.88
35.196.72.166,443,443,TRUE,ATL,North America,Atlanta,219,7.86
34.116.242.182,443,443,TRUE,FRA,Europe,Frankfurt,182,7.84
34.159.52.152,443,443,TRUE,FRA,Europe,Frankfurt,161,7.8
34.65.139.231,443,443,TRUE,FRA,Europe,Frankfurt,178,7.71
34.147.94.55,443,443,TRUE,FRA,Europe,Frankfurt,241,7.67
34.154.4.128,443,443,TRUE,FRA,Europe,Frankfurt,176,7.6
34.159.57.79,443,443,TRUE,FRA,Europe,Frankfurt,169,7.58
34.116.190.191,443,443,TRUE,FRA,Europe,Frankfurt,180,7.54
34.163.89.60,8443,443,TRUE,CDG,Europe,Paris,226,7.54
34.116.158.201,443,443,TRUE,FRA,Europe,Frankfurt,266,7.52
34.154.189.27,443,443,TRUE,FRA,Europe,Frankfurt,178,7.49
34.34.186.205,443,443,TRUE,CDG,Europe,Paris,228,7.48
34.147.110.177,443,443,TRUE,FRA,Europe,Frankfurt,237,7.44
34.163.89.60,8443,443,TRUE,CDG,Europe,Paris,229,7.44
34.116.147.197,443,443,TRUE,FRA,Europe,Frankfurt,187,7.42
34.154.31.46,443,443,TRUE,FRA,Europe,Frankfurt,176,7.42
34.154.245.81,443,443,TRUE,FRA,Europe,Frankfurt,178,7.4
34.163.89.60,2053,443,TRUE,CDG,Europe,Paris,226,7.4
34.116.248.223,443,443,TRUE,FRA,Europe,Frankfurt,183,7.39
34.34.186.205,443,443,TRUE,CDG,Europe,Paris,231,7.39
34.163.89.60,2053,443,TRUE,CDG,Europe,Paris,227,7.34
34.154.133.238,443,443,TRUE,FRA,Europe,Frankfurt,179,7.33
34.65.187.40,443,443,TRUE,FRA,Europe,Frankfurt,259,7.3
34.159.109.246,443,443,TRUE,FRA,Europe,Frankfurt,180,7.29
34.154.36.96,443,443,TRUE,FRA,Europe,Frankfurt,177,7.28
34.118.114.204,443,443,TRUE,FRA,Europe,Frankfurt,237,7.27
34.116.186.108,443,443,TRUE,FRA,Europe,Frankfurt,192,7.24
34.154.157.56,443,443,TRUE,FRA,Europe,Frankfurt,171,7.2
35.246.168.59,8443,443,TRUE,FRA,Europe,Frankfurt,226,7.15
34.154.243.73,443,443,TRUE,FRA,Europe,Frankfurt,193,7.07
34.159.95.136,443,443,TRUE,FRA,Europe,Frankfurt,161,6.93
34.116.235.3,443,443,TRUE,FRA,Europe,Frankfurt,253,6.93
34.116.149.130,443,443,TRUE,FRA,Europe,Frankfurt,189,6.9
34.154.232.197,443,443,TRUE,FRA,Europe,Frankfurt,182,6.83
34.141.148.8,443,443,TRUE,FRA,Europe,Frankfurt,176,6.81
34.116.246.105,443,443,TRUE,FRA,Europe,Frankfurt,253,6.78
34.118.26.113,443,443,TRUE,FRA,Europe,Frankfurt,237,6.76
34.116.234.57,443,443,TRUE,FRA,Europe,Frankfurt,361,6.75
34.118.69.24,443,443,TRUE,FRA,Europe,Frankfurt,178,6.73
34.154.252.49,443,443,TRUE,FRA,Europe,Frankfurt,186,6.71
34.65.139.231,443,443,TRUE,FRA,Europe,Frankfurt,182,6.71
34.116.242.182,443,443,TRUE,FRA,Europe,Frankfurt,228,6.69
34.116.149.83,443,443,TRUE,FRA,Europe,Frankfurt,192,6.66
34.154.152.98,443,443,TRUE,FRA,Europe,Frankfurt,179,6.64
35.246.191.74,443,443,TRUE,FRA,Europe,Frankfurt,165,6.63
34.154.193.1,443,443,TRUE,FRA,Europe,Frankfurt,182,6.57
34.118.28.157,443,443,TRUE,FRA,Europe,Frankfurt,172,6.55
34.116.252.39,443,443,TRUE,FRA,Europe,Frankfurt,257,6.52
35.246.168.59,2053,443,TRUE,FRA,Europe,Frankfurt,229,6.51
34.154.169.151,443,443,TRUE,FRA,Europe,Frankfurt,181,6.51
34.154.104.51,443,443,TRUE,FRA,Europe,Frankfurt,175,6.5
34.116.192.178,443,443,TRUE,FRA,Europe,Frankfurt,249,6.49
34.116.156.95,443,443,TRUE,FRA,Europe,Frankfurt,277,6.48
34.159.79.27,443,443,TRUE,FRA,Europe,Frankfurt,168,6.48
34.154.231.3,443,443,TRUE,FRA,Europe,Frankfurt,175,6.46
34.116.224.223,443,443,TRUE,FRA,Europe,Frankfurt,254,6.44
34.116.155.2,443,443,TRUE,FRA,Europe,Frankfurt,239,6.41
34.116.217.9,443,443,TRUE,FRA,Europe,Frankfurt,239,6.39
34.159.108.54,443,443,TRUE,FRA,Europe,Frankfurt,173,6.38
34.65.139.231,443,443,TRUE,FRA,Europe,Frankfurt,165,6.38
34.159.94.25,443,443,TRUE,FRA,Europe,Frankfurt,177,6.36
34.116.244.10,443,443,TRUE,FRA,Europe,Frankfurt,270,6.32
34.118.32.35,443,443,TRUE,FRA,Europe,Frankfurt,172,6.3
34.90.6.65,443,443,TRUE,FRA,Europe,Frankfurt,163,6.28
34.116.189.139,443,443,TRUE,FRA,Europe,Frankfurt,322,6.27
34.116.224.223,443,443,TRUE,FRA,Europe,Frankfurt,188,6.27
34.154.188.100,443,443,TRUE,FRA,Europe,Frankfurt,179,6.26
34.118.54.36,443,443,TRUE,FRA,Europe,Frankfurt,186,6.26
34.116.192.44,443,443,TRUE,FRA,Europe,Frankfurt,315,6.21
34.116.212.33,443,443,TRUE,FRA,Europe,Frankfurt,185,6.14
34.116.254.70,443,443,TRUE,FRA,Europe,Frankfurt,257,6.13
34.116.208.135,443,443,TRUE,FRA,Europe,Frankfurt,239,6.12
34.116.181.162,443,443,TRUE,FRA,Europe,Frankfurt,273,6.12
34.154.211.221,443,443,TRUE,FRA,Europe,Frankfurt,185,6.11
34.116.157.41,443,443,TRUE,FRA,Europe,Frankfurt,450,6.1
34.116.231.198,443,443,TRUE,FRA,Europe,Frankfurt,307,6.09
34.116.181.162,443,443,TRUE,FRA,Europe,Frankfurt,192,6.09
34.118.89.221,443,443,TRUE,FRA,Europe,Frankfurt,260,6.09
34.154.207.121,443,443,TRUE,FRA,Europe,Frankfurt,185,6.05
34.118.116.93,443,443,TRUE,FRA,Europe,Frankfurt,192,6.05
34.154.234.37,443,443,TRUE,FRA,Europe,Frankfurt,180,6.05
34.116.255.149,443,443,TRUE,FRA,Europe,Frankfurt,187,6.02
34.116.244.137,443,443,TRUE,FRA,Europe,Frankfurt,218,6.02
34.118.94.121,443,443,TRUE,FRA,Europe,Frankfurt,186,6.02
34.118.67.40,443,443,TRUE,FRA,Europe,Frankfurt,185,6
34.116.244.10,443,443,TRUE,FRA,Europe,Frankfurt,198,6
34.116.186.108,443,443,TRUE,AMS,Europe,Amsterdam,347,5.97
34.116.190.191,443,443,TRUE,FRA,Europe,Frankfurt,205,5.96
34.154.149.151,443,443,TRUE,FRA,Europe,Frankfurt,171,5.96
34.116.245.42,443,443,TRUE,FRA,Europe,Frankfurt,264,5.95
34.116.196.194,443,443,TRUE,FRA,Europe,Frankfurt,191,5.95
34.159.20.254,443,443,TRUE,FRA,Europe,Frankfurt,165,5.94
34.116.246.74,443,443,TRUE,FRA,Europe,Frankfurt,186,5.94
34.154.245.223,443,443,TRUE,FRA,Europe,Frankfurt,189,5.93
34.118.24.44,443,443,TRUE,FRA,Europe,Frankfurt,187,5.92
34.118.4.192,443,443,TRUE,FRA,Europe,Frankfurt,186,5.9
34.154.158.199,443,443,TRUE,FRA,Europe,Frankfurt,176,5.89
34.116.249.141,443,443,TRUE,FRA,Europe,Frankfurt,261,5.88
34.118.7.116,443,443,TRUE,FRA,Europe,Frankfurt,182,5.88
34.116.219.198,443,443,TRUE,FRA,Europe,Frankfurt,184,5.87
34.118.29.1,443,443,TRUE,FRA,Europe,Frankfurt,193,5.85
34.116.238.44,443,443,TRUE,FRA,Europe,Frankfurt,216,5.8
34.159.16.191,443,443,TRUE,FRA,Europe,Frankfurt,181,5.79
34.118.72.139,443,443,TRUE,FRA,Europe,Frankfurt,192,5.78
34.116.246.74,443,443,TRUE,FRA,Europe,Frankfurt,248,5.78
34.116.255.149,443,443,TRUE,FRA,Europe,Frankfurt,264,5.78
34.116.212.205,443,443,TRUE,FRA,Europe,Frankfurt,244,5.77
34.116.156.95,443,443,TRUE,FRA,Europe,Frankfurt,183,5.76
34.116.248.191,443,443,TRUE,FRA,Europe,Frankfurt,193,5.75
34.118.106.236,443,443,TRUE,FRA,Europe,Frankfurt,199,5.75
34.116.236.232,443,443,TRUE,FRA,Europe,Frankfurt,261,5.75
34.116.246.105,443,443,TRUE,FRA,Europe,Frankfurt,183,5.74
34.116.178.230,443,443,TRUE,FRA,Europe,Frankfurt,273,5.73
35.246.171.228,443,443,TRUE,FRA,Europe,Frankfurt,212,5.72
34.116.198.134,443,443,TRUE,FRA,Europe,Frankfurt,193,5.71
34.116.231.198,443,443,TRUE,FRA,Europe,Frankfurt,185,5.71
34.159.18.179,443,443,TRUE,FRA,Europe,Frankfurt,188,5.7
34.116.251.131,443,443,TRUE,FRA,Europe,Frankfurt,242,5.7
34.90.219.46,443,443,TRUE,FRA,Europe,Frankfurt,163,5.69
34.154.93.171,443,443,TRUE,FRA,Europe,Frankfurt,176,5.69
34.118.53.60,443,443,TRUE,FRA,Europe,Frankfurt,185,5.66
34.154.189.241,443,443,TRUE,FRA,Europe,Frankfurt,186,5.64
34.118.59.203,443,443,TRUE,FRA,Europe,Frankfurt,186,5.64
34.118.105.94,443,443,TRUE,FRA,Europe,Frankfurt,187,5.63
34.116.149.83,443,443,TRUE,FRA,Europe,Frankfurt,250,5.63
34.154.124.252,443,443,TRUE,FRA,Europe,Frankfurt,162,5.59
34.116.240.198,443,443,TRUE,FRA,Europe,Frankfurt,265,5.59
34.116.228.159,443,443,TRUE,FRA,Europe,Frankfurt,250,5.58
34.116.212.205,443,443,TRUE,FRA,Europe,Frankfurt,191,5.57
34.116.189.139,443,443,TRUE,FRA,Europe,Frankfurt,190,5.57
34.116.196.194,443,443,TRUE,FRA,Europe,Frankfurt,260,5.57
34.154.219.67,443,443,TRUE,FRA,Europe,Frankfurt,178,5.5
34.34.21.97,443,443,TRUE,FRA,Europe,Frankfurt,165,5.48
34.118.48.114,443,443,TRUE,FRA,Europe,Frankfurt,191,5.47
34.154.111.205,443,443,TRUE,FRA,Europe,Frankfurt,179,5.46
34.116.252.39,443,443,TRUE,FRA,Europe,Frankfurt,190,5.42
34.118.84.74,443,443,TRUE,FRA,Europe,Frankfurt,187,5.41
34.118.20.158,443,443,TRUE,FRA,Europe,Frankfurt,188,5.41
34.118.69.24,443,443,TRUE,FRA,Europe,Frankfurt,229,5.36
34.118.123.164,443,443,TRUE,FRA,Europe,Frankfurt,205,5.36
34.118.95.49,443,443,TRUE,FRA,Europe,Frankfurt,190,5.32
34.116.217.9,443,443,TRUE,FRA,Europe,Frankfurt,181,5.31
34.116.211.75,443,443,TRUE,FRA,Europe,Frankfurt,300,5.3
34.116.254.70,443,443,TRUE,FRA,Europe,Frankfurt,188,5.3
34.154.180.236,443,443,TRUE,FRA,Europe,Frankfurt,179,5.3
34.159.0.186,443,443,TRUE,FRA,Europe,Frankfurt,168,5.28
34.154.121.217,443,443,TRUE,FRA,Europe,Frankfurt,179,5.27
34.154.185.228,443,443,TRUE,FRA,Europe,Frankfurt,182,5.25
34.105.233.161,443,443,TRUE,LHR,Europe,London,205,5.24
34.154.179.41,443,443,TRUE,FRA,Europe,Frankfurt,180,5.24
34.154.169.134,443,443,TRUE,FRA,Europe,Frankfurt,169,5.21
34.118.114.204,443,443,TRUE,FRA,Europe,Frankfurt,192,5.19
34.116.235.3,443,443,TRUE,FRA,Europe,Frankfurt,205,5.18
34.118.17.210,443,443,TRUE,FRA,Europe,Frankfurt,179,5.17
34.116.157.41,443,443,TRUE,FRA,Europe,Frankfurt,197,5.11
34.116.201.167,443,443,TRUE,FRA,Europe,Frankfurt,179,5.03
34.90.6.65,443,443,TRUE,FRA,Europe,Frankfurt,185,5.02
34.116.147.55,443,443,TRUE,FRA,Europe,Frankfurt,191,5
34.154.123.93,443,443,TRUE,FRA,Europe,Frankfurt,178,4.94
34.118.111.88,443,443,TRUE,FRA,Europe,Frankfurt,190,4.94
34.116.211.75,443,443,TRUE,FRA,Europe,Frankfurt,185,4.89
34.105.140.105,443,443,TRUE,LHR,Europe,London,179,4.88
34.116.192.44,443,443,TRUE,FRA,Europe,Frankfurt,187,4.86
34.118.121.79,443,443,TRUE,FRA,Europe,Frankfurt,194,4.79
34.118.94.15,443,443,TRUE,FRA,Europe,Frankfurt,321,4.76
34.90.6.65,443,443,TRUE,FRA,Europe,Frankfurt,171,4.75
34.118.38.73,443,443,TRUE,FRA,Europe,Frankfurt,172,4.75
34.154.219.174,443,443,TRUE,FRA,Europe,Frankfurt,186,4.73
34.118.26.113,443,443,TRUE,FRA,Europe,Frankfurt,182,4.72
34.89.134.3,443,443,TRUE,AMS,Europe,Amsterdam,238,4.7
34.154.94.210,443,443,TRUE,FRA,Europe,Frankfurt,181,4.68
34.118.127.0,443,443,TRUE,FRA,Europe,Frankfurt,190,4.65
34.116.249.141,443,443,TRUE,FRA,Europe,Frankfurt,185,4.61
34.118.94.15,443,443,TRUE,FRA,Europe,Frankfurt,282,4.6
34.118.40.111,443,443,TRUE,FRA,Europe,Frankfurt,188,4.6
34.90.12.77,443,443,TRUE,FRA,Europe,Frankfurt,176,4.58
34.159.97.179,443,443,TRUE,FRA,Europe,Frankfurt,175,4.56
34.116.158.201,443,443,TRUE,FRA,Europe,Frankfurt,186,4.54
34.154.145.255,443,443,TRUE,AMS,Europe,Amsterdam,175,4.53
34.141.39.42,443,443,TRUE,FRA,Europe,Frankfurt,178,4.52
34.116.228.159,443,443,TRUE,FRA,Europe,Frankfurt,197,4.51
34.118.45.36,443,443,TRUE,FRA,Europe,Frankfurt,218,4.5
34.118.48.125,443,443,TRUE,FRA,Europe,Frankfurt,248,4.35
34.116.249.221,443,443,TRUE,FRA,Europe,Frankfurt,188,4.34
34.118.89.221,443,443,TRUE,FRA,Europe,Frankfurt,172,4.33
34.118.77.9,443,443,TRUE,FRA,Europe,Frankfurt,185,4.32
34.154.201.23,443,443,TRUE,FRA,Europe,Frankfurt,179,4.2
34.154.184.79,443,443,TRUE,FRA,Europe,Frankfurt,179,4.14
34.34.111.163,443,443,TRUE,FRA,Europe,Frankfurt,187,4.14
34.159.65.138,443,443,TRUE,FRA,Europe,Frankfurt,178,3.99
34.118.38.73,443,443,TRUE,FRA,Europe,Frankfurt,219,3.99
34.107.61.93,443,443,TRUE,FRA,Europe,Frankfurt,303,3.83
35.234.95.210,443,443,TRUE,FRA,Europe,Frankfurt,169,3.8
34.65.139.231,443,443,TRUE,FRA,Europe,Frankfurt,192,3.76
34.116.211.139,443,443,TRUE,FRA,Europe,Frankfurt,187,3.61
34.116.234.12,443,443,TRUE,FRA,Europe,Frankfurt,239,3.51
34.118.77.9,443,443,TRUE,FRA,Europe,Frankfurt,234,3.48
34.116.199.155,443,443,TRUE,FRA,Europe,Frankfurt,186,3.38
34.116.149.130,443,443,TRUE,FRA,Europe,Frankfurt,297,3.33
34.118.84.121,443,443,TRUE,FRA,Europe,Frankfurt,259,2.02
34.116.147.197,443,443,TRUE,FRA,Europe,Frankfurt,193,1.38
34.116.240.198,443,443,TRUE,FRA,Europe,Frankfurt,196,0.99
34.97.85.97,443,443,TRUE,KIX,Asia Pacific,Osaka,139,0.61
34.97.85.97,443,443,TRUE,KIX,Asia Pacific,Osaka,120,0.61
34.97.85.97,443,443,TRUE,KIX,Asia Pacific,Osaka,98,0.6
35.220.255.59,443,443,TRUE,HKG,Asia Pacific,Hong Kong,67,0
34.49.199.30,80,80,FALSE,SIN,Asia Pacific,Singapore,28,0
35.244.203.169,80,80,FALSE,SIN,Asia Pacific,Singapore,2,0
34.117.254.68,80,80,FALSE,SIN,Asia Pacific,Singapore,3,0
34.36.183.121,80,80,FALSE,SIN,Asia Pacific,Singapore,11,0
34.111.135.19,80,80,FALSE,SIN,Asia Pacific,Singapore,12,0
34.36.41.236,80,80,FALSE,SIN,Asia Pacific,Singapore,13,0
34.36.237.86,80,80,FALSE,SIN,Asia Pacific,Singapore,14,0
34.54.251.222,80,80,FALSE,ORD,North America,Chicago,22,0
34.160.118.77,80,80,FALSE,SIN,Asia Pacific,Singapore,32,0
34.49.212.232,80,80,FALSE,SIN,Asia Pacific,Singapore,37,0
34.93.79.152,80,80,FALSE,BOM,Asia Pacific,Mumbai,60,0
34.93.79.152,80,80,FALSE,BOM,Asia Pacific,Mumbai,60,0
34.93.226.165,80,80,FALSE,BOM,Asia Pacific,Mumbai,60,0
34.93.79.152,80,80,FALSE,BOM,Asia Pacific,Mumbai,60,0
34.93.79.152,80,80,FALSE,BOM,Asia Pacific,Mumbai,61,0
34.93.226.165,80,80,FALSE,BOM,Asia Pacific,Mumbai,61,0
34.93.226.165,80,80,FALSE,BOM,Asia Pacific,Mumbai,61,0
34.93.226.165,80,80,FALSE,BOM,Asia Pacific,Mumbai,61,0
34.150.29.153,443,80,FALSE,HKG,Asia Pacific,Hong Kong,62,0
35.200.202.118,80,80,FALSE,BOM,Asia Pacific,Mumbai,69,0
34.150.29.153,443,80,FALSE,HKG,Asia Pacific,Hong Kong,71,0
35.200.202.118,80,80,FALSE,BOM,Asia Pacific,Mumbai,71,0
34.82.76.253,80,80,FALSE,SEA,North America,Seattle,156,0
34.105.49.234,80,80,FALSE,SEA,North America,Seattle,156,0
34.168.117.104,443,80,FALSE,SEA,North America,Seattle,156,0
35.247.124.181,80,80,FALSE,SEA,North America,Seattle,156,0
34.82.76.253,80,80,FALSE,SEA,North America,Seattle,157,0
34.82.76.253,80,80,FALSE,SEA,North America,Seattle,157,0
34.82.76.253,80,80,FALSE,SEA,North America,Seattle,157,0
34.105.49.234,80,80,FALSE,SEA,North America,Seattle,158,0
34.19.70.190,80,80,FALSE,SEA,North America,Seattle,159,0
34.102.111.127,80,80,FALSE,LAX,North America,Los Angeles,160,0
34.141.248.249,2086,80,FALSE,AMS,Europe,Amsterdam,160,0
34.141.248.249,2052,80,FALSE,AMS,Europe,Amsterdam,161,0
34.168.117.104,80,80,FALSE,SEA,North America,Seattle,161,0
34.141.221.33,2095,80,FALSE,AMS,Europe,Amsterdam,162,0
34.141.221.33,2052,80,FALSE,AMS,Europe,Amsterdam,162,0
35.187.41.171,2087,80,FALSE,CDG,Europe,Paris,163,0
34.147.101.117,2052,80,FALSE,AMS,Europe,Amsterdam,164,0
34.141.221.33,2082,80,FALSE,AMS,Europe,Amsterdam,164,0
34.141.221.33,2086,80,FALSE,AMS,Europe,Amsterdam,164,0
34.141.248.249,2082,80,FALSE,AMS,Europe,Amsterdam,165,0
34.141.248.249,2096,80,FALSE,AMS,Europe,Amsterdam,165,0
